Heliostat field,,,"IFS(SQRT(POWER(A3,2)+POWER(B3,2)+POWER(180,2))>1200,1600,SQRT(POWER(A3,2)+POWER(B3,2)+POWER(180,2))>800,1200,SQRT(POWER(A3,2)+POWER(B3,2)+POWER(180,2))>400,800,SQRT(POWER(A3,2)+POWER(B3,2)+POWER(180,2))>0,400)",,8*COS(M3),8*sin(M3),"IFS(AND(D3=400,O3>0.5),NORM.INV(RAND(),187,0.3),AND(D3=400,O3<=0.5),NORM.INV(RAND(),173,0.3),AND(D3=800,O3>0.5),NORM.INV(RAND(),184,0.8),AND(D3=800,O3<=0.5),NORM.INV(RAND(),176,0.8),AND(D3=1200,O3>0.5),NORM.INV(RAND(),182,0.9),AND(D3=1200,O3<=0.5),NORM.INV(RAND(),178,0.9),D3=1600,NORM.INV(RAND(),180,1.2))",,,,"NORM.INV(RAND(),0,0.28)","ATAN2(A3,B3)","IFS(AND(D3=400,O3>0.5),NORM.INV(RAND(),187,0.1),AND(D3=400,O3<=0.5),NORM.INV(RAND(),172,0.1),AND(D3=800,O3>0.5),NORM.INV(RAND(),185,0.1),AND(D3=800,O3<=0.5),NORM.INV(RAND(),175,0.1),AND(D3=1200,O3>0.5),NORM.INV(RAND(),183,0.1),AND(D3=1200,O3<=0.5),NORM.INV(RAND(),177,0.1),D3=1600,NORM.INV(RAND(),180,0.1))",RAND()
Heliostat x,Heliostat y,Heliostat z,Focal Length x,Focal Length y,Aiming point x,Aiming point y,Aiming point z,Heliostat width (x),Heliostat length (y),Heliostat z-normal rotation,,theta,,
21.055584,128.741424,0,400,400,1.291239939,7.895106042,186.6284889,11.415,10.421,0,-0.152915678,1.40868218,186.9779386,0.696392539
46.759368,121.785888,0,400,400,2.867485858,7.468435235,172.6303326,11.415,10.421,0,-0.277813495,1.204204578,171.8273094,0.307821947
70.51548,109.752384,0,400,400,4.324341216,6.730532895,186.5564422,11.415,10.421,0,0.348644917,0.999714348,187.084858,0.898759146
91.33332,93.14688,0,400,400,5.600973067,5.712188784,172.8867769,11.415,10.421,0,-0.080827366,0.795228495,171.8649938,0.045812056
108.344208,72.658224,0,400,400,6.644242073,4.455788064,173.1246077,11.415,10.421,0,0.058409213,0.590737281,171.9472989,0.145293314
120.844056,49.142904,0,400,400,7.410662827,3.013648366,186.6037121,11.415,10.421,0,-0.539300517,0.386237806,186.8655768,0.693411041
128.30556,23.579328,0,400,400,7.868235636,1.445983392,173.4583553,11.415,10.421,0,-0.423164649,0.181746847,172.0347029,0.281602182
128.30556,-23.579328,0,400,400,7.868235636,-1.445983392,173.1839413,11.415,10.421,0,0.006795186,-0.181746847,171.9377947,0.458818178
120.161304,-50.782728,0,400,400,7.368942235,-3.114272039,173.2535573,11.415,10.421,0,0.016729255,-0.399854154,172.0163692,0.382957273
106.326432,-75.581256,0,400,400,6.520472316,-4.635023277,173.2621141,11.415,10.421,0,0.021799103,-0.617965238,171.8566975,0.344558606
87.453216,-96.798384,0,400,400,5.363047118,-5.936137264,173.3776928,11.415,10.421,0,-0.165299477,-0.836074342,171.9934096,0.071353496
64.437768,-113.428272,0,400,400,3.951606391,-6.955918842,186.372993,11.415,10.421,0,0.009560751,-1.054168595,187.073708,0.715008728
38.365176,-124.684536,0,400,400,2.352726195,-7.646219945,187.1400112,11.415,10.421,0,0.093323741,-1.272292242,187.1547549,0.764188845
10.479024,-130.030728,0,400,400,0.642627213,-7.97414762,173.1316522,11.415,10.421,0,-0.143177931,-1.490381285,172.0579052,0.161215547
-10.479024,-130.030728,0,400,400,-0.642627213,-7.97414762,186.2397343,11.415,10.421,0,0.204414198,-1.651211369,187.1202234,0.708388925
-38.22192,-124.727208,0,400,400,-2.343963723,-7.648910646,172.7574981,11.415,10.421,0,-0.327056772,-1.868154626,172.0291357,0.327458739
-64.17564,-113.577624,0,400,400,-3.935509514,-6.965038756,186.7843726,11.415,10.421,0,0.629830651,-2.085111449,187.0746653,0.714627125
-87.117936,-97.100136,0,400,400,-5.342489442,-5.954645796,172.6733782,11.415,10.421,0,-0.305923326,-2.302060566,172.181467,0.390929342
-105.975912,-76.1,0,400,400,-6.49816195,-4.666250236,172.2577649,11.415,10.421,0,-0.147727448,-2.518830154,172.0088729,0.100943455
-119.868696,-51.474624,0,400,400,-7.35088632,-3.156654924,172.9244289,11.415,10.421,0,0.122489827,-2.735979905,171.8416077,0.359089003
-128.13792,-24.466296,0,400,400,-7.858041883,-1.500392536,172.8661262,11.415,10.421,0,0.180564349,-2.952926314,171.9960754,0.321831236
-128.13792,24.466296,0,400,400,-7.858041883,1.500392536,173.3056869,11.415,10.421,0,-0.11247222,2.952926314,171.7613037,0.102286293
-117.817392,56.010048,0,400,400,-7.225107683,3.434795332,173.1070491,11.415,10.421,0,0.417351103,2.697820359,172.0055141,0.039726999
-99.86772,83.929728,0,400,400,-6.124405181,5.147005069,172.6792779,11.415,10.421,0,-0.357477323,2.442693095,172.0363998,0.192828592
-75.456288,106.414824,0,400,400,-4.627369159,6.525906425,187.4266821,11.415,10.421,0,0.367833029,2.187588194,187.0856198,0.720097835
-56.903112,117.387624,0,400,400,-3.489587259,7.19880412,172.9890723,11.415,10.421,0,0.145262601,2.022165959,172.0110958,0.140115522
-31.879032,126.498096,0,400,400,-1.954971048,7.757453719,186.1099544,11.415,10.421,0,-0.148163527,1.817667693,186.9869846,0.554105851
-5.526024,130.335528,0,400,400,-0.338883121,7.992819167,187.1669181,11.415,10.421,0,0.681234195,1.613169396,187.0347725,0.840494914
7.815072,140.63472,0,400,400,0.443875214,7.987676433,172.1896873,11.415,10.421,0,0.290201639,1.515283417,172.0279153,0.179066053
36.39312,136.065768,0,400,400,2.06707615,7.72833722,186.5178779,11.415,10.421,0,0.104185774,1.309446767,186.980943,0.671879728
63.434976,125.757432,0,400,400,3.602961882,7.142735168,172.8423939,11.415,10.421,0,-0.380775239,1.10361636,171.9657186,0.251771908
87.79764,110.136432,0,400,400,4.986764503,6.255571899,187.3342761,11.415,10.421,0,0.002582785,0.897782376,186.9817173,0.889553975
108.453936,89.867232,0,400,400,6.16002182,5.104324752,186.9162442,11.415,10.421,0,0.107565862,0.6919509,187.0063131,0.887393414
124.532136,65.80632,0,400,400,7.073177381,3.737667955,172.9556694,11.415,10.421,0,-0.208374553,0.486130848,171.9659639,0.058831093
135.352536,38.962584,0,400,400,7.68781902,2.213015753,173.3417273,11.415,10.421,0,-0.054379074,0.280282327,172.0404851,0.18843153
137.757408,138.083544,0,400,400,5.650162012,5.663538579,186.7885841,11.415,10.421,0,0.700179056,0.786580496,187.0313143,0.9479164
164,106.25328,0,400,400,6.714027542,4.349923466,187.1523644,11.415,10.421,0,0.392793288,0.574887566,186.9205782,0.915023493
182.157624,69.729096,0,400,400,7.471311437,2.859983464,187.1078587,11.415,10.421,0,0.303872829,0.365587396,186.9046571,0.819608884
192.706752,30.12948,0,400,400,7.903977057,1.235777762,173.2263227,11.415,10.421,0,-0.226714704,0.155093239,172.1376839,0.223234175
192.706752,-30.12948,0,400,400,7.903977057,-1.235777762,187.02024,11.415,10.421,0,-0.069285861,-0.155093239,187.0884584,0.549122469
180.984144,-72.72528,0,400,400,7.423114071,-2.982847212,172.8165903,11.415,10.421,0,0.235612987,-0.382084972,172.0687681,0.330921336
159.97428,-111.590328,0,400,400,6.561393521,-4.576911083,187.1337281,11.415,10.421,0,0.161248558,-0.609080907,187.1084163,0.698990801
130.7592,-144.728184,0,400,400,5.363125065,-5.936066841,186.6573663,11.415,10.421,0,-0.266029278,-0.836061211,186.9757955,0.983893343
94.832424,-170.44416,0,400,400,3.889568884,-6.990797801,173.2080753,11.415,10.421,0,-0.020917444,-1.063064897,172.037211,0.123956778
54.04104,-187.412376,0,400,400,2.216519487,-7.68680957,186.8137587,11.415,10.421,0,-0.029532897,-1.290058219,186.9474561,0.648861277
10.479024,-194.7672,0,400,400,0.429800903,-7.988446106,173.2505536,11.415,10.421,0,0.251759027,-1.517045335,171.9405113,0.062621857
-10.479024,-194.7672,0,400,400,-0.429800903,-7.988446106,187.1793804,11.415,10.421,0,-0.030724383,-1.624547319,186.9747433,0.686353859
-53.897784,-187.455048,0,400,400,-2.210628273,-7.688505878,172.9538222,11.415,10.421,0,-0.272225963,-1.850768114,171.9886921,0.029054956
-94.570296,-170.590464,0,400,400,-3.878805067,-6.996775776,172.7251956,11.415,10.421,0,0.024793214,-2.076988703,171.8208586,0.281201114
-130.42392,-145.029936,0,400,400,-5.34938291,-5.948453789,186.7322322,11.415,10.421,0,0.034131281,-2.30321883,186.9019511,0.632317774
-159.629856,-112.081056,0,400,400,-6.547294189,-4.597057625,173.3211583,11.415,10.421,0,-0.502282312,-2.52943798,172.0947321,0.193500341
-180.703728,-73.420224,0,400,400,-7.411599107,-3.011344994,186.8769927,11.415,10.421,0,0.059121157,-2.755665646,186.9278604,0.518313866
-192.566544,-31.019496,0,400,400,-7.898184288,-1.272275499,187.0484234,11.415,10.421,0,0.122886984,-2.981880088,187.0498669,0.693095265
-192.566544,31.019496,0,400,400,-7.898184288,1.272275499,173.0444379,11.415,10.421,0,-0.3706949,2.981880088,172.1586501,0.051205189
-182.191152,69.6,0,400,400,-7.473253451,2.854905052,173.2614715,11.415,10.421,0,0.284665632,2.776684891,172.0851842,0.034124659
-164.153088,105.348024,0,400,400,-6.732764626,4.320865711,187.2456024,11.415,10.421,0,0.346735828,2.571026968,186.9561065,0.88488633
-139.211304,136.617456,0,400,400,-5.709797911,5.603410373,172.7240386,11.415,10.421,0,-0.293318938,2.365598047,172.077177,0.181403952
-108.414312,162.144456,0,400,400,-4.446627353,6.650376319,173.3468108,11.415,10.421,0,-0.053610269,2.160155499,171.9119789,0.122413188
-89.861136,173.117256,0,400,400,-3.685660551,7.100415925,186.9271105,11.415,10.421,0,0.374651108,2.049588574,186.877316,0.822893784
-51.703224,188.070744,0,400,400,-2.120632956,7.713813316,186.8877621,11.415,10.421,0,0.062014722,1.839082303,186.9960273,0.74930543
-11.265408,194.724528,0,400,400,-0.462051814,7.986645611,172.7965155,11.415,10.421,0,0.050972491,1.628584963,171.8742636,0.245882922
8.631936,206.063088,0,400,400,0.334824546,7.992990212,173.4691503,11.415,10.421,0,-0.146207275,1.52893103,172.1321696,0.214987029
51.630072,199.67448,0,400,400,2.00270337,7.745268182,173.7056243,11.415,10.421,0,0.455359734,1.317767052,171.9474956,0.424051137
92.333064,184.41924,0,400,400,3.581538901,7.153501178,186.8244845,11.415,10.421,0,-0.317181604,1.106613368,187.01769,0.533449049
128.933448,160.970976,0,400,400,5.001265016,6.243984965,173.4019096,11.415,10.421,0,0.054125454,0.895462213,172.1231158,0.192263472
159.809688,130.372104,0,400,400,6.198900355,5.057038105,173.1240614,11.415,10.421,0,0.135722937,0.684298709,171.9311478,0.446902714
183.584088,93.982032,0,400,400,7.121115479,3.645506046,172.7817834,11.415,10.421,0,-0.037883153,0.473145261,171.9563356,0.085239635
199.205088,53.4162,0,400,400,7.727024816,2.071976711,187.3530339,11.415,10.421,0,-0.14295063,0.261983717,187.1662918,0.831509892
205.977744,10.479024,0,400,400,7.989667176,0.406470682,186.8841572,11.415,10.421,0,0.074796996,0.050830722,187.0685745,0.52430283
205.977744,-10.479024,0,400,400,7.989667176,-0.406470682,186.5478668,11.415,10.421,0,-0.085863669,-0.050830722,186.9033312,0.796453376
214.03056,-132.804408,0,400,400,6.797721043,-4.217936536,186.5518729,11.415,10.421,0,-0.111900352,-0.55535157,187.0845431,0.96585448
199.27824,-154.058112,0,400,400,6.32919833,-4.892979511,172.7036616,11.415,10.421,0,-0.105964009,-0.658109705,171.9953937,0.164406087
182,-173.684184,0,400,400,5.78752867,-5.523088981,188.0697805,11.415,10.421,0,0.088307175,-0.762022647,186.9635593,0.575462864
